Id fixedAcidity volatileAcidity citricAcid residualSugar chlorides freeSulfurDioxide totalSulfurDioxide density pH sulphates alcohol quality group 
1 7.4 0.7 0.0 1.9 0.076 11.0 34.0 0.9978 3.51 0.56 9.4 5.0 g1
2 7.8 0.88 0.0 2.6 0.098 25.0 67.0 0.9968 3.2 0.68 9.8 5.0 Noise
3 7.8 0.76 0.04 2.3 0.092 15.0 54.0 0.997 3.26 0.65 9.8 5.0 g2
4 11.2 0.28 0.56 1.9 0.075 17.0 60.0 0.998 3.16 0.58 9.8 6.0 Noise
5 7.4 0.7 0.0 1.9 0.076 11.0 34.0 0.9978 3.51 0.56 9.4 5.0 g1
6 7.4 0.66 0.0 1.8 0.075 13.0 40.0 0.9978 3.51 0.56 9.4 5.0 Noise
7 7.9 0.6 0.06 1.6 0.069 15.0 59.0 0.9964 3.3 0.46 9.4 5.0 g2
8 7.3 0.65 0.0 1.2 0.065 15.0 21.0 0.9946 3.39 0.47 10.0 7.0 Noise
9 7.8 0.58 0.02 2.0 0.073 9.0 18.0 0.9968 3.36 0.57 9.5 7.0 Noise
10 7.5 0.5 0.36 6.1 0.071 17.0 102.0 0.9978 3.35 0.8 10.5 5.0 g3
11 6.7 0.58 0.08 1.8 0.097 15.0 65.0 0.9959 3.28 0.54 9.2 5.0 Noise
12 7.5 0.5 0.36 6.1 0.071 17.0 102.0 0.9978 3.35 0.8 10.5 5.0 g3
13 5.6 0.615 0.0 1.6 0.089 16.0 59.0 0.9943 3.58 0.52 9.9 5.0 g2
14 7.8 0.61 0.29 1.6 0.114 9.0 29.0 0.9974 3.26 1.56 9.1 5.0 Noise
15 8.9 0.62 0.18 3.8 0.176 52.0 145.0 0.9986 3.16 0.88 9.2 5.0 g4
16 8.9 0.62 0.19 3.9 0.17 51.0 148.0 0.9986 3.17 0.93 9.2 5.0 g4
17 8.5 0.28 0.56 1.8 0.092 35.0 103.0 0.9969 3.3 0.75 10.5 7.0 Noise
18 8.1 0.56 0.28 1.7 0.368 16.0 56.0 0.9968 3.11 1.28 9.3 5.0 g2
19 7.4 0.59 0.08 4.4 0.086 6.0 29.0 0.9974 3.38 0.5 9.0 4.0 Noise
20 7.9 0.32 0.51 1.8 0.341 17.0 56.0 0.9969 3.04 1.08 9.2 6.0 g2
